floral_id,num_orders,week
1885,197,146
1993,213,146
2539,142,146
2631,42,146
1248,31,146
1778,197,146
1062,279,146
2707,242,146
1207,71,146
1230,131,146
2322,106,146
2290,288,146
1727,320,146
1109,277,146
2577,27,146
2640,17,146
2826,297,146
1754,193,146
1971,109,146
1198,112,146
1311,107,146
1803,151,146
1558,94,146
2581,89,146
1962,113,146
2444,19,146
2867,21,146
1525,24,146
2704,22,146
2492,21,146
1543,35,146
2304,23,146
2664,336,146
2569,82,146
2490,113,146
1885,735,146
1993,487,146
2539,253,146
2139,104,146
1778,764,146
1062,851,146
2707,972,146
1207,128,146
1230,74,146
2322,198,146
2290,1246,146
1727,510,146
1109,1112,146
1571,73,146
2956,55,146
2577,103,146
2640,135,146
1878,139,146
2306,63,146
1216,76,146
2126,114,146
2826,535,146
1754,580,146
1971,192,146
1902,46,146
1770,49,146
1198,133,146
1311,152,146
1803,171,146
1438,206,146
2494,137,146
1847,126,146
1558,152,146
2581,262,146
1962,344,146
1445,50,146
2867,41,146
2760,490,146
1525,263,146
2704,281,146
1543,177,146
2304,130,146
2664,443,146
2569,404,146
2490,221,146
1885,1126,146
1993,727,146
2539,528,146
2139,52,146
2631,81,146
1248,61,146
1778,630,146
1062,693,146
2707,1091,146
1207,88,146
1230,138,146
2322,142,146
2290,814,146
1727,525,146
1109,749,146
1571,64,146
2956,65,146
2577,56,146
2640,111,146
1878,65,146
2306,212,146
1216,42,146
2126,55,146
2826,570,146
1754,573,146
1971,220,146
1902,25,146
1247,21,146
1770,22,146
1198,308,146
1311,386,146
1803,625,146
1438,201,146
2494,141,146
1847,140,146
1558,127,146
2581,169,146
1962,303,146
1445,36,146
2444,36,146
2867,35,146
2760,288,146
1525,237,146
2704,167,146
2492,41,146
1543,80,146
2304,56,146
2664,586,146
2569,334,146
2490,270,146
1885,826,146
1993,668,146
2539,341,146
2139,39,146
2631,27,146
1248,37,146
1778,303,146
1062,575,146
2707,368,146
1207,111,146
1230,144,146
2322,136,146
2290,785,146
1727,278,146
1109,474,146
1571,55,146
2956,60,146
2104,47,146
2577,45,146
2640,161,146
1878,129,146
2306,44,146
1216,46,146
2126,43,146
2826,354,146
1754,540,146
1971,249,146
1902,27,146
1247,32,146
1770,46,146
1558,131,146
2581,150,146
1962,196,146
1445,76,146
2867,30,146
2760,185,146
1525,45,146
2704,181,146
2492,30,146
1543,112,146
2304,79,146
2664,389,146
2569,319,146
2490,193,146
1885,308,146
1993,280,146
2539,117,146
2139,45,146
2631,40,146
1778,202,146
1062,348,146
2707,282,146
1207,105,146
1230,105,146
2322,119,146
2290,598,146
1727,252,146
1109,429,146
1571,67,146
2956,44,146
2104,53,146
2577,54,146
2640,98,146
1878,79,146
1216,42,146
2126,37,146
2826,312,146
1754,624,146
1971,347,146
1902,21,146
1247,21,146
1770,21,146
1558,163,146
2581,185,146
1962,301,146
1445,38,146
2444,23,146
2867,34,146
2760,79,146
1525,62,146
2704,90,146
2492,34,146
1543,98,146
2304,46,146
2664,288,146
2569,401,146
2490,222,146
1885,2067,146
1993,1466,146
2539,743,146
2139,91,146
2631,154,146
1248,118,146
1778,1094,146
1062,981,146
2707,1922,146
1207,138,146
1230,126,146
2322,253,146
2290,2131,146
1727,883,146
1109,1822,146
1571,197,146
2956,357,146
2104,106,146
2577,309,146
2640,324,146
1878,174,146
2306,249,146
1216,151,146
2126,96,146
2826,1155,146
1754,954,146
1971,243,146
1902,69,146
1247,63,146
1770,82,146
1198,412,146
1311,566,146
1803,662,146
1438,192,146
2494,155,146
1847,145,146
1558,187,146
2581,257,146
1962,555,146
1445,88,146
2444,98,146
2867,79,146
2760,1504,146
1525,469,146
2704,433,146
2492,115,146
1543,207,146
2304,138,146
2664,642,146
2569,416,146
2490,357,146
1885,958,146
1993,446,146
2539,277,146
2631,68,146
1248,38,146
1778,352,146
1062,506,146
2707,600,146
1207,120,146
1230,141,146
2322,175,146
2290,574,146
1727,266,146
1109,437,146
2577,49,146
2640,90,146
1878,69,146
2306,85,146
1216,43,146
2126,40,146
2826,471,146
1754,365,146
1971,153,146
1902,22,146
1770,17,146
1198,183,146
1311,347,146
1803,505,146
1438,55,146
2494,51,146
1847,43,146
1558,110,146
2581,149,146
1962,234,146
1445,34,146
2867,34,146
2760,163,146
1525,119,146
2704,90,146
2492,36,146
1543,61,146
2304,41,146
2664,255,146
2569,246,146
2490,161,146
1885,1420,146
1993,719,146
2539,605,146
2139,80,146
2631,218,146
1248,105,146
1778,841,146
1062,952,146
2707,1324,146
1207,108,146
1230,102,146
2322,206,146
2290,1552,146
1727,715,146
1109,1063,146
1571,114,146
2104,69,146
2577,101,146
2640,182,146
1878,111,146
2306,232,146
1216,108,146
2126,103,146
2826,845,146
1754,708,146
1971,179,146
1902,49,146
1247,35,146
1770,85,146
1198,439,146
1311,609,146
1803,653,146
1438,159,146
2494,160,146
1847,124,146
1558,166,146
2581,263,146
1962,348,146
1445,36,146
2444,39,146
2867,52,146
2760,609,146
1525,324,146
2704,320,146
2492,85,146
1543,185,146
2304,113,146
2664,733,146
2569,447,146
2490,303,146
1885,402,146
1993,299,146
2539,127,146
2139,31,146
2631,80,146
1248,34,146
1778,295,146
1062,339,146
2707,205,146
1207,88,146
1230,89,146
2322,84,146
2290,483,146
1727,212,146
1109,383,146
1571,61,146
2956,51,146
2104,84,146
2640,91,146
1878,65,146
2306,28,146
1216,39,146
2126,52,146
2826,296,146
1754,476,146
1971,329,146
1902,16,146
1558,118,146
2581,142,146
1962,198,146
1445,51,146
2444,32,146
2867,17,146
2760,78,146
1525,23,146
2704,62,146
2492,29,146
1543,64,146
2304,41,146
2664,232,146
2569,258,146
2490,197,146
1885,297,146
1993,270,146
2539,55,146
2139,29,146
2631,67,146
1248,41,146
1778,153,146
1062,381,146
2707,185,146
1207,84,146
1230,67,146
2322,60,146
2290,349,146
1727,121,146
1109,255,146
1571,37,146
2104,23,146
2577,37,146
2640,59,146
1878,46,146
1216,33,146
2826,203,146
1754,371,146
1971,227,146
1247,16,146
1770,23,146
1558,112,146
2581,118,146
1962,150,146
1445,23,146
2444,26,146
2867,26,146
2760,61,146
2704,49,146
1543,72,146
2304,59,146
2664,173,146
2569,193,146
2490,143,146
1885,328,146
1993,321,146
2539,140,146
2139,62,146
2631,114,146
1248,53,146
1778,197,146
1062,546,146
2707,378,146
1207,98,146
1230,30,146
2322,69,146
2290,863,146
1727,379,146
1109,752,146
1571,122,146
2956,124,146
2104,135,146
2577,150,146
2640,306,146
1878,206,146
2306,67,146
1216,75,146
2826,407,146
1754,655,146
1971,367,146
1902,52,146
1247,30,146
1770,76,146
1558,64,146
2581,168,146
1962,227,146
1445,49,146
2444,43,146
2760,233,146
1525,146,146
2704,289,146
2492,95,146
1543,160,146
2304,100,146
2664,410,146
2569,434,146
2490,200,146
1885,75,146
1993,152,146
2539,92,146
1248,24,146
1778,137,146
1062,290,146
1207,106,146
1230,98,146
2322,60,146
